"HBCJHM","HBZQDM","HBHTXH","HBGDDM","HBCJSL","HBCJJG","HBDFXW","HBDFGD","HBCJSJ","HBCJRQ","HBYWLB","HBCDYY","HBMARK","HBBYBZ"
"03353418","000911","0694002008102200000284","0899043679",1100,12.81,"","","11044704","2009/3/17","0B","","",""
"03353791","000869","0694002008102200000025","0899043679",-4700,43.55,"000000","","11044790","2009/3/17","0C","","",""
"03354215","000911","0694002008102200000284","0899043679",300,12.81,"","","11044895","2009/3/17","0B","","",""
"03354617","000911","0694002008102200000300","0899043679",7600,12.81,"","","11044971","2009/3/17","0B","","",""
"03354836","000911","0694002008102200000300","0899043679",2400,12.81,"","","11045033","2009/3/17","0B","","",""
"03354837","000911","0694002008102200000284","0899043679",1500,12.81,"","","11045033","2009/3/17","0B","","",""
"03362132","000911","0694002008102200000284","0899043679",400,12.81,"","","11050838","2009/3/17","0B","","",""
"03362874","000911","0694002008102200000284","0899043679",1000,12.81,"","","11051030","2009/3/17","0B","","",""
"03364098","000911","0694002008102200000284","0899043679",500,12.81,"","","11051336","2009/3/17","0B","","",""
"03370000","000911","0694002008102200000303","0899043679",3000,12.81,"","","11052891","2009/3/17","0B","","",""
"03379451","000911","0694002008102200000303","0899043679",2000,12.81,"","","11055452","2009/3/17","0B","","",""
"03405871","000911","0694002008102200000305","0899043679",200,12.81,"","","11070674","2009/3/17","0B","","",""
"03405872","000911","0694002008102200000305","0899043679",3000,12.81,"","","11070674","2009/3/17","0B","","",""
"03405873","000911","0694002008102200000305","0899043679",1800,12.81,"","","11070674","2009/3/17","0B","","",""
"03411385","000911","0694002008102200000304","0899043679",1500,12.81,"","","11072282","2009/3/17","0B","","",""
"03412701","000869","0694002008102200000294","0899043679",100,43.55,"","","11072657","2009/3/17","0B","","",""
"03415017","000869","0694002008102200000306","0899043679",100,43.55,"","","11073292","2009/3/17","0B","","",""
"03415018","000869","0694002008102200000306","0899043679",100,43.55,"","","11073292","2009/3/17","0B","","",""
"03415019","000869","0694002008102200000306","0899043679",100,43.55,"","","11073292","2009/3/17","0B","","",""
"03415020","000869","0694002008102200000306","0899043679",200,43.55,"","","11073292","2009/3/17","0B","","",""
"03415021","000869","0694002008102200000306","0899043679",500,43.55,"","","11073292","2009/3/17","0B","","",""
"03432945","000911","0694002008102200000304","0899043679",450,12.81,"","","11082660","2009/3/17","0B","","",""
